Expert_0,Expert_1,Expert_2,Expert_3,Expert_4,Expert_5
0.169,0.1552,0.1765,0.1992,0.1333,0.1667
0.1645,0.172,0.1692,0.1647,0.1497,0.1798
0.1723,0.1601,0.1702,0.1772,0.1495,0.1706
0.1857,0.1803,0.1528,0.1484,0.1591,0.1737
0.2137,0.1694,0.1487,0.1306,0.1621,0.1755
0.2564,0.1519,0.1524,0.1414,0.1391,0.1588
0.2272,0.1429,0.1567,0.1449,0.1744,0.154
0.2321,0.1389,0.1475,0.1428,0.1908,0.1478
0.2264,0.1368,0.14,0.1409,0.2097,0.1462
0.2298,0.1269,0.1432,0.1368,0.2359,0.1274
0.2128,0.1272,0.1448,0.1414,0.2367,0.137
0.2252,0.12,0.1556,0.1468,0.2213,0.1311
0.2215,0.1257,0.1406,0.1329,0.2493,0.13
0.2143,0.1267,0.1331,0.1302,0.2578,0.1379
0.2002,0.1333,0.1478,0.1268,0.2402,0.1517
0.2051,0.1455,0.1298,0.1152,0.2385,0.1658
0.1834,0.1514,0.1529,0.1315,0.2137,0.1672
0.1924,0.1503,0.1546,0.1304,0.2066,0.1657
0.2027,0.1588,0.145,0.1294,0.1995,0.1647
0.1874,0.1655,0.1294,0.1168,0.2239,0.1769
